rank,link_poster_film,judul,jumlah_penonton,pendapatan_kotor,tahun_rilis
1,https://m.media-amazon.com/images/M/MV5BYjBjM2Y5YWEtNTgyMi00MzcwLThkYTctYzZmY2FkNjZjZTRjXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,KKN Desa Penari,9233847,"IDR 369,353,880,000",2022
2,https://upload.wikimedia.org/wikipedia/id/thumb/2/26/Pengabdi_Setan_2.jpeg/220px-Pengabdi_Setan_2.jpeg,Pengabdi Setan 2: Communion,6390970,"IDR 255,638,800,000",2022
3,https://upload.wikimedia.org/wikipedia/id/thumb/8/8a/Miracle_in_Cell_No_7_Indonesian_remake_film_2022_Official_poster.jpeg/220px-Miracle_in_Cell_No_7_Indonesian_remake_film_2022_Official_poster.jpeg,Miracle in Cell No 7,5851595,"IDR 234,063,800,000",2022
4,https://upload.wikimedia.org/wikipedia/id/f/f7/Suara_dari_Dilan.jpg,Milea: Suara dari Dilan,3157817,"IDR 126,312,680,000",2020
5,https://upload.wikimedia.org/wikipedia/id/6/6a/Poster_Ngeri_Ngeri_Sedap_2022_movie.jpeg,Ngeri-ngeri Sedap,2886121,"IDR 115,444,840,000",2022
6,https://upload.wikimedia.org/wikipedia/id/thumb/3/32/Poster_Ivanna.jpeg/220px-Poster_Ivanna.jpeg,Ivanna,2793775,"IDR 111,751,000,000",2022
7,https://m.media-amazon.com/images/M/MV5BZDJiMzExYWItYmZkMC00YmU5LWJlYjEtODQyNDRmZWQ3YTIyXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,Sayap-Sayap Patah,2426084,"IDR 97,043,360,000",2022
8,https://m.media-amazon.com/images/M/MV5BNWZmOTIzOGMtODBmMC00MjVlLThjYzUtNjcxNjg4NzY0YTg1XkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_.jpg,Mencuri Raden Saleh,2350741,"IDR 94,029,640,000",2022
9,https://upload.wikimedia.org/wikipedia/id/3/37/Nkcthi_poster.jpg,Nanti Kita Cerita tentang Hari Ini,2256908,"IDR 90,276,320,000",2020
10,https://m.media-amazon.com/images/M/MV5BYzk0MGVlNzktMjczOS00ODI2LThhY2YtZWJhNGUzNWYxMWNlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,Kukira Kau Rumah,2220180,"IDR 88,807,200,000",2021
11,https://m.media-amazon.com/images/M/MV5BY2IyOWU4ZjgtNzdjOC00ZDRkLTk2ZmYtYWFlNzdlY2I0ZGRlXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_FMjpg_UX1000_.jpg,Makmum 2,1764372,"IDR 70,574,880,000",2021
12,https://upload.wikimedia.org/wikipedia/id/5/56/The_doll_3.jpeg,The Doll 3,1764077,"IDR 70,563,080,000",2022
13,https://upload.wikimedia.org/wikipedia/id/a/a1/Jailangkung_Sandekala.jpg,Jailangkung: Sandekala,1546295,"IDR 61,851,800,000",2022
14,No Link,Kuntilanak 3,1313304,"IDR 52,532,160,000",2022
15,https://upload.wikimedia.org/wikipedia/id/d/d9/Qodrat.jpeg,Qodrat,1168848,"IDR 46,753,920,000",2022
16,https://upload.wikimedia.org/wikipedia/id/5/59/Si_doel_3.jpg,Akhir Kisah Cinta Si Doel,1155859,"IDR 46,234,360,000",2020
17,No Link,Pamali,878588,"IDR 35,143,520,000",2022
18,https://upload.wikimedia.org/wikipedia/id/1/18/SIM_2_%28poster%29.jpg,Sebelum Iblis Menjemput Ayat 2,863003,"IDR 34,520,120,000",2020
19,No Link,Mangkujiwo,834806,"IDR 33,392,240,000",2020
20,No Link,Teman Tapi Menikah 2,832801,"IDR 33,312,040,000",2020
21,https://upload.wikimedia.org/wikipedia/id/thumb/2/21/Poster_Inang.jpeg/220px-Poster_Inang.jpeg,Inang,828168,"IDR 33,126,720,000",2022
22,https://m.media-amazon.com/images/M/MV5BNjM0NjA0ZTYtMTM1My00ODBlLWJkMWYtOTcxZmVhNDNhMmUyXkEyXkFqcGdeQXVyNzEzNjU1NDg@._V1_.jpg,Mariposa,766429,"IDR 30,657,160,000",2020
23,https://m.media-amazon.com/images/M/MV5BNmQxZDNjYjUtZGU5MC00ZTI0LWIyMTAtMmJjODJiNjQzODkzXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_FMjpg_UX1000_.jpg,Dear Nathan: Thank You Salma,754744,"IDR 30,189,760,000",2022
24,https://upload.wikimedia.org/wikipedia/id/d/d5/Aku_Tahu_Kapan_Kamu_Mati_Poster.jpg,Aku Tahu Kapan Kamu Mati,567701,"IDR 22,708,040,000",2020
25,https://upload.wikimedia.org/wikipedia/id/thumb/1/1f/Poster_film_Nussa.jpeg/220px-Poster_film_Nussa.jpeg,Nussa,446482,"IDR 17,859,280,000",2021
26,https://m.media-amazon.com/images/M/MV5BMjM0NWU4YTEtMDAyNS00MTA5LTgyNDMtNmFiZjU4MGI2ZTBjXkEyXkFqcGdeQXVyMTE4MTAxMzUx._V1_.jpg,Yowis Ben 3,418526,"IDR 16,741,040,000",2021
27,https://upload.wikimedia.org/wikipedia/id/4/46/Rasuk_2_Poster.jpeg,Rasuk 2,382765,"IDR 15,310,600,000",2020
28,https://m.media-amazon.com/images/M/MV5BYjlhOWUwNjEtZDY4ZS00MmRhLTkzMzYtYmMxZGFlZGQ0ODJkXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,Yowis Ben Finale,369211,"IDR 14,768,440,000",2021
29,https://upload.wikimedia.org/wikipedia/id/a/a1/Asih_2_Poster.jpeg,Asih 2,334282,"IDR 13,371,280,000",2020
30,https://upload.wikimedia.org/wikipedia/id/d/d7/Dignitate.jpg,Diginitate,236210,"IDR 9,448,400,000",2020
31,https://cdn0-production-images-kly.akamaized.net/ZUDSnJBzO6MkKt-twuJ7VQ4Ip30=/640x853/smart/filters:quality(75):strip_icc():format(jpeg)/kly-media-production/medias/3452868/original/042313800_1620557329-TLM_poster_IG.jpg,Tarian Lengger Maut,222062,"IDR 8,882,480,000",2021
32,https://upload.wikimedia.org/wikipedia/id/3/3f/TKM_%28poster%29.jpg,Toko Barang Mantan,217818,"IDR 8,712,720,000",2020
33,https://upload.wikimedia.org/wikipedia/id/9/9d/Janin_poster.jpeg,Janin,183673,"IDR 7,346,920,000",2020
34,https://upload.wikimedia.org/wikipedia/id/5/59/Poster_film_Teka_Teki_Tika.jpg,Teka-teki Tika,173017,"IDR 6,920,680,000",2021
35,No Link,Titus: Mystery of The Enygma,156738,"IDR 6,269,520,000",2020
36,https://m.media-amazon.com/images/M/MV5BYWM1MjYzNTAtMDgxNi00Y2RlLWE4MDMtYmJiYzIyYjkxMGI1XkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,Backstage,138258,"IDR 5,530,320,000",2021
37,No Link,Kuyang The Movie,126108,"IDR 5,044,320,000",2021
38,https://m.media-amazon.com/images/M/MV5BNTAzZDBlZTYtMDdiNi00YWUxLThkYWMtZDM2ZmE0NzdmZmYyXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_.jpg,Losmen Bu Broto,120413,"IDR 4,816,520,000",2021
39,https://upload.wikimedia.org/wikipedia/id/3/3d/Poster_film_Yuni_2021.jpeg,Yuni,117160,"IDR 4,686,400,000",2021
